InstanceSizeFlexibilityGroup,ArmSkuName,Ratio
Dlsv5 Series,Standard_D16ls_v5,8
Dlsv5 Series,Standard_D32ls_v5,16
Dlsv5 Series,Standard_D48ls_v5,24
Dlsv5 Series,Standard_D64ls_v5,32
Dlsv5 Series,Standard_D96ls_v5,48
Dpdsv5 Series,Standard_D2pds_v5,1
Dpdsv5 Series,Standard_D4pds_v5,2
Dpdsv5 Series,Standard_D8pds_v5,4
Dpdsv5 Series,Standard_D16pds_v5,8
Dpdsv5 Series,Standard_D32pds_v5,16
Dpdsv5 Series,Standard_D48pds_v5,24
Dpdsv5 Series,Standard_D64pds_v5,32
Dpldsv5 Series,Standard_D2plds_v5,1
Dpldsv5 Series,Standard_D4plds_v5,2
Dpldsv5 Series,Standard_D8plds_v5,4
Dpldsv5 Series,Standard_D16plds_v5,8
Dpldsv5 Series,Standard_D32plds_v5,16
Dpldsv5 Series,Standard_D48plds_v5,24
Dpldsv5 Series,Standard_D64plds_v5,32
Dplsv5 Series,Standard_D2pls_v5,1
Dplsv5 Series,Standard_D4pls_v5,2
Dplsv5 Series,Standard_D8pls_v5,4
Dplsv5 Series,Standard_D16pls_v5,8
Dplsv5 Series,Standard_D32pls_v5,16
Dplsv5 Series,Standard_D48pls_v5,24
Dplsv5 Series,Standard_D64pls_v5,32
Dpsv5 Series,Standard_D2ps_v5,1
Dpsv5 Series,Standard_D4ps_v5,2
Dpsv5 Series,Standard_D8ps_v5,4
Dpsv5 Series,Standard_D16ps_v5,8
Dpsv5 Series,Standard_D32ps_v5,16
Dpsv5 Series,Standard_D48ps_v5,24
Dpsv5 Series,Standard_D64ps_v5,32
Dsv4 Series,Standard_D2s_v4,1
Dsv4 Series,Standard_D4s_v4,2
Dsv4 Series,Standard_D8s_v4,4
Dsv4 Series,Standard_D16s_v4,8
Dsv4 Series,Standard_D32s_v4,16
Dsv4 Series,Standard_D48s_v4,24
Dsv4 Series,Standard_D64s_v4,32
Dsv5 Series,Standard_D2s_v5,1
Dsv5 Series,Standard_D4s_v5,2
Dsv5 Series,Standard_D8s_v5,4
Dsv5 Series,Standard_D16s_v5,8
Dsv5 Series,Standard_D32s_v5,16
Dsv5 Series,Standard_D48s_v5,24
Dsv5 Series,Standard_D64s_v5,32
Dsv5 Series,Standard_D96s_v5,48
Dsv5 Series DedicatedHost,Dsv5_Type1,1
Dv2 Series,Standard_D1_v2,1
Dv2 Series,Standard_D2_v2,2
Dv2 Series,Standard_D3_v2,4
Dv2 Series,Standard_D4_v2,8
Dv2 Series,Standard_D5_v2,16
Dv2 Series High Memory,Standard_D11_v2,1
Dv2 Series High Memory,Standard_D12_v2,2
Dv2 Series High Memory,Standard_D13_v2,4
Dv2 Series High Memory,Standard_D14_v2,8
Dv2 Series High Memory,Standard_D15_v2,10
Dv2 Series High Memory Isolated,Standard_D15i_v2,1
Dv3 Series,Standard_D2_v3,1
Dv3 Series,Standard_D4_v3,2
Dv3 Series,Standard_D8_v3,4
Dv3 Series,Standard_D16_v3,8
Dv3 Series,Standard_D32_v3,16
Dv3 Series,Standard_D48_v3,24
Dv3 Series,Standard_D64_v3,32
Dv4 Series,Standard_D2_v4,1
Dv4 Series,Standard_D4_v4,2
Dv4 Series,Standard_D8_v4,4
Dv4 Series,Standard_D16_v4,8
Dv4 Series,Standard_D32_v4,16
Dv4 Series,Standard_D48_v4,24
Dv4 Series,Standard_D64_v4,32
Dv5 Series,Standard_D2_v5,1
Dv5 Series,Standard_D4_v5,2
Dv5 Series,Standard_D8_v5,4
Dv5 Series,Standard_D16_v5,8
Dv5 Series,Standard_D32_v5,16
Dv5 Series,Standard_D48_v5,24
Dv5 Series,Standard_D64_v5,32
Dv5 Series,Standard_D96_v5,48
ECadsv5-series DedicatedHost,ECadsv5 Type 1,1
ECadsv5-series Linux,Standard_EC2ads_v5,1
ECadsv5-series Linux,Standard_EC4ads_v5,2
ECadsv5-series Linux,Standard_EC8ads_v5,4
ECadsv5-series Linux,Standard_EC16ads_v5,8
ECadsv5-series Linux,Standard_EC20ads_v5,10
ECadsv5-series Linux,Standard_EC32ads_v5,16
ECadsv5-series Linux,Standard_EC48ads_v5,24
ECadsv5-series Linux,Standard_EC64ads_v5,32
ECadsv5-series Linux,Standard_EC96iads_v5,48
ECadsv5-series Linux,Standard_EC96ads_v5,48
ECasv5-series DedicatedHost,ECasv5 Type 1,1
ECasv5-series Linux,Standard_EC2as_v5,1
ECasv5-series Linux,Standard_EC4as_v5,2
ECasv5-series Linux,Standard_EC8as_v5,4
ECasv5-series Linux,Standard_EC16as_v5,8
ECasv5-series Linux,Standard_EC20as_v5,10
ECasv5-series Linux,Standard_EC32as_v5,16
ECasv5-series Linux,Standard_EC48as_v5,24
ECasv5-series Linux,Standard_EC64as_v5,32
ECasv5-series Linux,Standard_EC96as_v5,48
ECasv5-series Linux,Standard_EC96ias_v5,48
ESv3 Series,Standard_E2s_v3,1
ESv3 Series,Standard_E4-2s_v3,2
ESv3 Series,Standard_E4s_v3,2
ESv3 Series,Standard_E8-2s_v3,4
ESv3 Series,Standard_E8-4s_v3,4
ESv3 Series,Standard_E8s_v3,4
ESv3 Series,Standard_E16-4s_v3,8
ESv3 Series,Standard_E16-8s_v3,8
ESv3 Series,Standard_E16s_v3,8
ESv3 Series,Standard_E20s_v3,10
ESv3 Series,Standard_E32-8s_v3,16
ESv3 Series,Standard_E32-16s_v3,16
ESv3 Series,Standard_E32s_v3,16
ESv3 Series,Standard_E48s_v3,24
ESv3 Series,Standard_E64-16s_v3,28.8
ESv3 Series,Standard_E64-32s_v3,28.8
ESv3 Series,Standard_E64s_v3,28.8
ESv3 Series Dedicated Host,Esv3_Type1,1
ESv3 Series Dedicated Host,Esv3_Type2,1.107142857
ESv3 Series Dedicated Host,Esv3_Type3,1.428571429
ESv3 Series Dedicated Host,Esv3_Type4,1.5
ESv3 Series Isolated,Standard_E64is_v3,1
ESv4 Series Dedicated Host,Standard_E64is_v4_SPECIAL,1
ESv4 Series Dedicated Host,Esv4_Type1,1
ESv4 Series Dedicated Host,Esv4_Type2,1.3125
Eadsv5 Internal Series,Internal_E2ads_v5,1
Eadsv5 Internal Series,Internal_E4ads_v5,2
Eadsv5 Internal Series,Internal_E8ads_v5,4
Eadsv5 Internal Series,Internal_E16ads_v5,8
Eadsv5 Internal Series,Internal_E20ads_v5,10
Eadsv5 Internal Series,Internal_E32ads_v5,16
Eadsv5 Internal Series,Internal_E48ads_v5,24
Eadsv5 Internal Series,Internal_E64ads_v5,32
Eadsv5 Internal Series,Internal_E96ads_v5,48
Eadsv5 Series,Standard_E2ads_v5,1
Eadsv5 Series,Standard_E4ads_v5,2
Eadsv5 Series,Standard_E4-2ads_v5,2
Eadsv5 Series,Standard_E8ads_v5,4
Eadsv5 Series,Standard_E8-2ads_v5,4
Eadsv5 Series,Standard_E8-4ads_v5,4
Eadsv5 Series,Standard_E16ads_v5,8
Eadsv5 Series,Standard_E16-8ads_v5,8
Eadsv5 Series,Standard_E16-4ads_v5,8
Eadsv5 Series,Standard_E20ads_v5,10
Eadsv5 Series,Standard_E32ads_v5,16
Eadsv5 Series,Standard_E32-16ads_v5,16
Eadsv5 Series,Standard_E32-8ads_v5,16
Eadsv5 Series,Standard_E48ads_v5,24
Eadsv5 Series,Standard_E64ads_v5,32
Eadsv5 Series,Standard_E64-16ads_v5,32
Eadsv5 Series,Standard_E64-32ads_v5,32
Eadsv5 Series,Standard_E96-48ads_v5,48
Eadsv5 Series,Standard_E96-24ads_v5,48
Eadsv5 Series,Standard_E96ads_v5,48
Eadsv5 Series,Standard_E96iads_v5,48
Eadsv5 Series,Standard_E112iads_v5,56
Eadsv5 Series DedicatedHost,Eadsv5_Type1,1
Easv4 Series,Standard_E2as_v4,1
Easv4 Series,Standard_E4-2as_v4,2
Easv4 Series,Standard_E4as_v4,2
Easv4 Series,Standard_E8-2as_v4,4
Easv4 Series,Standard_E8-4as_v4,4
Easv4 Series,Standard_E8as_v4,4
Easv4 Series,Standard_E16-4as_v4,8
Easv4 Series,Standard_E16-8as_v4,8
Easv4 Series,Standard_E16as_v4,8
Easv4 Series,Standard_E20as_v4,10
Easv4 Series,Standard_E32-8as_v4,16
Easv4 Series,Standard_E32-16as_v4,16
Easv4 Series,Standard_E32as_v4,16
Easv4 Series,Standard_E48as_v4,24
Easv4 Series,Standard_E64-16as_v4,32
Easv4 Series,Standard_E64-32as_v4,32
Easv4 Series,Standard_E64as_v4,32
Easv4 Series,Standard_E96ias_v4,48
Easv4 Series,Standard_E96-48as_v4,48
Easv4 Series,Standard_E96as_v4,48
Easv4 Series,Standard_E96-24as_v4,48
Easv4 Series Dedicated Host,Easv4_Type1,1
Easv4 Series Dedicated Host,Easv4_Type2,1
Easv5 Internal Series,Internal_E2as_v5,1
Easv5 Internal Series,Internal_E4as_v5,2
Easv5 Internal Series,Internal_E8as_v5,4
Easv5 Internal Series,Internal_E16as_v5,8
Easv5 Internal Series,Internal_E20as_v5,10
Easv5 Internal Series,Internal_E32as_v5,16
Easv5 Internal Series,Internal_E48as_v5,24
Easv5 Internal Series,Internal_E64as_v5,32
Easv5 Internal Series,Internal_E96as_v5,48
Easv5 Promo Series,Standard_E2as_v5_Promo,1
Easv5 Promo Series,Standard_E4as_v5_Promo,2
Easv5 Promo Series,Standard_E8as_v5_Promo,4
Easv5 Promo Series,Standard_E16as_v5_Promo,8
Easv5 Promo Series,Standard_E20as_v5_Promo,10
Easv5 Promo Series,Standard_E32as_v5_Promo,16
Easv5 Promo Series,Standard_E48as_v5_Promo,24
Easv5 Promo Series,Standard_E64as_v5_Promo,32
Easv5 Promo Series,Standard_E96as_v5_Promo,48
Easv5 Series,Standard_E2as_v5,1
Easv5 Series,Standard_E4as_v5,2
Easv5 Series,Standard_E4-2as_v5,2
Easv5 Series,Standard_E8-2as_v5,4
Easv5 Series,Standard_E8-4as_v5,4
Easv5 Series,Standard_E8as_v5,4
Easv5 Series,Standard_E16-4as_v5,8
Easv5 Series,Standard_E16-8as_v5,8
Easv5 Series,Standard_E16as_v5,8
Easv5 Series,Standard_E20as_v5,10
Easv5 Series,Standard_E32-8as_v5,16
Easv5 Series,Standard_E32-16as_v5,16
Easv5 Series,Standard_E32as_v5,16
Easv5 Series,Standard_E48as_v5,24
Easv5 Series,Standard_E64-16as_v5,32
Easv5 Series,Standard_E64-32as_v5,32
Easv5 Series,Standard_E64as_v5,32
Easv5 Series,Standard_E96-48as_v5,48
Easv5 Series,Standard_E96-24as_v5,48
Easv5 Series,Standard_E96as_v5,48
Easv5 Series,Standard_E96ias_v5,48
Easv5 Series,Standard_E112ias_v5,56
Easv5 Series DedicatedHost,Easv5_Type1,1
Eav4 Series,Standard_E2a_v4,1
Eav4 Series,Standard_E4a_v4,2
Eav4 Series,Standard_E8a_v4,4
Eav4 Series,Standard_E16a_v4,8
Eav4 Series,Standard_E20a_v4,10
Eav4 Series,Standard_E32a_v4,16
Eav4 Series,Standard_E48a_v4,24
Eav4 Series,Standard_E64a_v4,32
Eav4 Series,Standard_E96a_v4,48
Ebdsv5 Series,Standard_E2bds_v5,1
Ebdsv5 Series,Standard_E4bds_v5,2
Ebdsv5 Series,Standard_E8bds_v5,4
Ebdsv5 Series,Standard_E16bds_v5,8
Ebdsv5 Series,Standard_E32bds_v5,16
Ebdsv5 Series,Standard_E48bds_v5,24
Ebdsv5 Series,Standard_E64bds_v5,32
Ebdsv5 Series,Standard_E96bds_v5,48
Ebdsv5 Series,Standard_E112ibds_v5,56
Ebdsv5 Series Dedicated Host,Ebdsv5-Type1,1
Ebsv5 Series,Standard_E2bs_v5,1
Ebsv5 Series,Standard_E4bs_v5,2
Ebsv5 Series,Standard_E8bs_v5,4
Ebsv5 Series,Standard_E16bs_v5,8
Ebsv5 Series,Standard_E32bs_v5,16
Ebsv5 Series,Standard_E48bs_v5,24
Ebsv5 Series,Standard_E64bs_v5,32
Ebsv5 Series,Standard_E96bs_v5,48
Ebsv5 Series,Standard_E112ibs_v5,56
Ebsv5 Series Dedicated Host,Ebsv5-Type1,1
Edsv4 Series,Standard_E2ds_v4,1
Edsv4 Series,Standard_E4-2ds_v4,2
Edsv4 Series,Standard_E4ds_v4_ADHType1,2
Edsv4 Series,Standard_E4ds_v4,2
Edsv4 Series,Standard_E8-2ds_v4,4
Edsv4 Series,Standard_E8-4ds_v4,4
Edsv4 Series,Standard_E8ds_v4,4
Edsv4 Series,Standard_E8ds_v4_ADHType1,4
Edsv4 Series,Standard_E16ds_v4,8
Edsv4 Series,Standard_E16-8ds_v4,8
Edsv4 Series,Standard_E16-4ds_v4,8
Edsv4 Series,Standard_E16ds_v4_ADHType1,8
Edsv4 Series,Standard_E20ds_v4,10
Edsv4 Series,Standard_E32ds_v4_ADHType1,16
Edsv4 Series,Standard_E32-16ds_v4,16
Edsv4 Series,Standard_E32-8ds_v4,16
Edsv4 Series,Standard_E32ds_v4,16
Edsv4 Series,Standard_E48ds_v4,24
Edsv4 Series,Standard_E64-16ds_v4,32
Edsv4 Series,Standard_E64ds_v4,32
Edsv4 Series,Standard_E64-32ds_v4,32
Edsv4 Series Dedicated Host,Edsv4_Type 1,1
Edsv4 Series Dedicated Host,Edsv4_Type2,1.1875
Edsv4 Series Isolated,Standard_E64ids_v4_SPECIAL,1
Edsv4 Series Isolated,Standard_E80ids_v4,1.25
Edsv5 Series,Standard_E2ds_v5,1
Edsv5 Series,Standard_E4-2ds_v5,2
Edsv5 Series,Standard_E4ds_v5,2
Edsv5 Series,Standard_E8ds_v5,4
Edsv5 Series,Standard_E8-4ds_v5,4
